Date,platinum
2022-07-25,869.3
2022-07-24,859.5
2022-07-22,867.2
2022-07-21,858.7
2022-07-20,846.5
2022-07-19,858.9
2022-07-18,856.0
2022-07-17,835.4
2022-07-15,830.9
2022-07-14,817.3
2022-07-13,837.8
2022-07-12,828.1
2022-07-11,860.7
2022-07-10,883.05
2022-07-08,882.8
2022-07-07,865.8
2022-07-06,840.9
2022-07-05,850.7
2022-07-04,875.1
2022-07-03,872.0
2022-07-01,871.3
2022-06-30,895.3
2022-06-29,909.9
2022-06-28,908.3
2022-06-27,900.3
2022-06-26,904.8
2022-06-24,903.3
2022-06-23,903.7
2022-06-22,926.1
2022-06-21,939.4
2022-06-20,930.3
2022-06-19,932.75
2022-06-17,930.8
2022-06-16,951.3
2022-06-15,925.5
2022-06-14,913.2
2022-06-13,935.4
2022-06-12,970.0
2022-06-10,972.9
2022-06-09,977.9
2022-06-08,1013.6
2022-06-07,1014.9
2022-06-06,1031.5
2022-06-05,1018.9
2022-06-03,1017.8
2022-06-02,1029.2
2022-06-01,997.7
2022-05-31,969.3
2022-05-30,948.2
2022-05-27,945.1
2022-05-26,938.1
2022-05-25,930.8
2022-05-24,944.4
2022-05-23,951.2
2022-05-22,952.3
2022-05-20,940.9
2022-05-19,953.5
2022-05-18,925.0
2022-05-17,944.0
2022-05-16,926.9
2022-05-15,935.3
2022-05-13,931.5
2022-05-12,931.6
2022-05-11,988.6
2022-05-10,946.2
2022-05-09,937.6
2022-05-08,943.65
2022-05-06,956.2
2022-05-05,973.4
2022-05-04,979.6
2022-05-03,959.2
2022-05-02,933.8
2022-05-01,930.45
2022-04-29,940.5
2022-04-28,913.3
2022-04-27,910.4
2022-04-26,912.1
2022-04-25,905.0
2022-04-24,925.5
2022-04-22,927.4
2022-04-21,967.8
2022-04-20,987.0
2022-04-19,988.7
2022-04-18,1020.5
2022-04-17,1000.15
2022-04-15,991.1
2022-04-14,994.2
2022-04-13,989.6
2022-04-12,972.4
2022-04-11,977.8
2022-04-10,978.3
2022-04-08,975.6
2022-04-07,958.0
2022-04-06,953.1
2022-04-05,973.1
2022-04-04,991.0
2022-04-03,989.0
2022-04-01,988.6
2022-03-31,995.8
2022-03-30,1001.2
2022-03-29,977.0
2022-03-28,993.8
2022-03-27,1004.4
2022-03-25,1010.7
2022-03-24,1033.7
2022-03-23,1023.3
2022-03-22,1026.6
2022-03-21,1045.3
2022-03-20,1030.3
2022-03-18,1036.1
2022-03-17,1030.8
2022-03-16,1007.8
2022-03-15,1002.6
2022-03-14,1050.8
2022-03-13,1077.1
2022-03-11,1086.1
2022-03-10,1092.8
2022-03-09,1105.8
2022-03-08,1151.4
2022-03-07,1116.0
2022-03-06,1151.7
2022-03-04,1116.6
2022-03-03,1080.9
2022-03-02,1068.2
2022-03-01,1052.9
2022-02-28,1039.8
2022-02-27,1062.55
2022-02-25,1051.1
2022-02-24,1062.4
2022-02-23,1092.4
2022-02-22,1086.2
2022-02-21,1086.55
2022-02-20,1079.2
2022-02-18,1077.4
2022-02-17,1091.9
2022-02-16,1062.9
2022-02-15,1020.2
2022-02-14,1028.7
2022-02-13,1038.25
2022-02-11,1019.6
2022-02-10,1043.0
2022-02-09,1038.1
2022-02-08,1036.9
2022-02-07,1020.7
2022-02-06,1027.4
2022-02-04,1024.6
2022-02-03,1030.3
2022-02-02,1043.2
2022-02-01,1022.6
2022-01-31,1019.9
2022-01-30,1009.1
2022-01-28,1006.4
2022-01-27,1021.8
2022-01-26,1045.9
2022-01-25,1025.5
2022-01-24,1020.3
2022-01-23,1035.1
2022-01-21,1035.1
2022-01-20,1050.8
2022-01-19,1028.4
2022-01-18,979.5
2022-01-17,970.9
2022-01-16,966.85
2022-01-14,964.6
2022-01-13,972.2
2022-01-12,980.1
2022-01-11,973.2
2022-01-10,933.6
2022-01-09,954.05
2022-01-07,956.5
2022-01-06,960.7
2022-01-05,1001.9
2022-01-04,971.2
2022-01-03,954.0
2022-01-02,970.85
2021-12-31,966.2
2021-12-30,964.6
2021-12-29,969.7
2021-12-28,979.8
2021-12-27,971.0
2021-12-26,966.85
2021-12-23,972.2
2021-12-22,963.7
2021-12-21,924.4
2021-12-20,922.6
2021-12-19,921.8
2021-12-17,932.9
2021-12-16,927.1
2021-12-15,894.1
2021-12-14,911.0
2021-12-13,924.9
2021-12-12,940.45
2021-12-10,935.1
2021-12-09,938.6
2021-12-08,957.0
2021-12-07,951.0
2021-12-06,937.4
2021-12-05,934.65
2021-12-03,927.1
2021-12-02,934.0
2021-12-01,936.6
2021-11-30,929.2
2021-11-29,966.4
2021-11-28,978.4
2021-11-26,954.9
2021-11-25,990.9
2021-11-24,977.4
2021-11-23,966.1
2021-11-22,1016.7
2021-11-21,1031.6
2021-11-19,1037.6
2021-11-18,1057.5
2021-11-17,1070.1
2021-11-16,1075.6
2021-11-15,1097.8
2021-11-14,1091.8
2021-11-12,1090.1
2021-11-11,1095.5
2021-11-10,1077.9
2021-11-09,1062.4
2021-11-08,1061.1
2021-11-07,1037.65
2021-11-05,1036.9
2021-11-04,1030.3
2021-11-03,1023.3
2021-11-02,1040.3
2021-11-01,1068.1
2021-10-31,1021.5
2021-10-29,1021.7
2021-10-28,1025.3
2021-10-27,1019.3
2021-10-26,1032.9
2021-10-25,1063.8
2021-10-24,1046.6
2021-10-22,1052.1
2021-10-21,1049.7
2021-10-20,1052.3
2021-10-19,1047.1
2021-10-18,1037.9
2021-10-17,1058.35
2021-10-15,1058.9
2021-10-14,1052.3
2021-10-13,1024.2
2021-10-12,1011.7
2021-10-11,1006.9
2021-10-10,1021.5
2021-10-08,1028.2
2021-10-07,985.3
2021-10-06,977.2
2021-10-05,959.8
2021-10-04,961.6
2021-10-03,978.5
2021-10-01,973.6
2021-09-30,962.4
2021-09-29,947.0
2021-09-28,961.3
2021-09-27,977.8
2021-09-26,979.8
2021-09-24,976.3
2021-09-23,995.4
2021-09-22,999.8
2021-09-21,950.8
2021-09-20,899.4
2021-09-19,932.9
2021-09-17,932.6
2021-09-16,925.6
2021-09-15,932.9
2021-09-14,941.1
2021-09-13,960.2
2021-09-12,956.1
2021-09-10,959.6
2021-09-09,977.5
2021-09-08,979.1
2021-09-07,998.9
2021-09-06,1018.3
2021-09-05,1019.7
2021-09-03,1024.5
2021-09-02,996.9
2021-09-01,1002.4
2021-08-31,1016.9
2021-08-30,1004.9
2021-08-29,1009.8
2021-08-27,1007.4
2021-08-26,978.5
